,tid,dataset,qvid,vid1,vid2,rel1,rel2,s1,s2,s3,s4
0,0,moma-lrg,BLhh7j60CWg,bsVtuOhwH7M,0m_HbAUoUoY,0.9516501923402151,0.8903676321109136,0,0,0,0
1,1,moma-lrg,7bRNEZVNVSs,Iy6UEZaz3uI,uuHqSRKjfH0,1.0000001192092896,0.8265667056043943,0,0,0,0
2,2,moma-lrg,bsVtuOhwH7M,ziQA-Z18osk,l4_FtDMCCLQ,1.0,0.9485473508636156,0,0,0,0
3,3,moma-lrg,e-DPBOTlSWk,jz8ne2HhtIw,BLhh7j60CWg,0.8678923894961675,0.9100494782129923,0,0,0,0
4,4,moma-lrg,g0p3Wwzd-3E,YUytvAg_hE4,6WeK2hkK_OA,0.8228562623262405,0.8549144158760706,0,0,0,0
5,5,moma-lrg,b9uJxI9gh1E,lVcwAQTVQzk,Sn7TKb5POU0,0.9419803142547607,0.8716755338289119,0,0,0,0
6,6,moma-lrg,YOPDHRqi3Uo,MxECcph9Yj8,Sn7TKb5POU0,0.970990115404129,0.8256242313870676,0,0,0,0
7,7,moma-lrg,73fz_uK-vhs,7bRNEZVNVSs,YbbzaS8rcak,1.0,0.8920594573020935,0,0,0,0
8,8,moma-lrg,D3sotAxZSG8,uOlhVVxjmbQ,YOPDHRqi3Uo,0.9392977595329285,0.8527151544888815,0,0,0,0
9,9,moma-lrg,-hTTwSQPmMo,Wg_Ql89fWy4,JK5slvV7Lbw,0.8352732280890147,0.9043985843658447,0,0,0,0
10,10,moma-lrg,EBoMKkmJEMg,usS09KGPLfw,46rabPWIKyY,0.8473152816295624,0.9392977595329285,0,0,0,0
11,11,moma-lrg,EmHZzAoGHUs,OQTn-BcBYZg,EBoMKkmJEMg,0.8388126611709594,0.8173273305098215,0,0,0,0
12,12,moma-lrg,wD2cVhC-63I,ekMl5VHBH4I,YUytvAg_hE4,0.9392977595329285,0.8060263246297836,0,0,0,0
13,13,moma-lrg,y3l3r9WDgiQ,yUlBzLFGP3Y,lVcwAQTVQzk,0.8669875818822119,0.9527617692947388,0,0,0,0
14,14,moma-lrg,yKh_XFJ9TWc,LGFcrz0WC28,y3l3r9WDgiQ,0.9392977595329285,0.9122849106788635,0,0,0,0
15,15,moma-lrg,IdlzqmMDF3g,VKyMQEaEcsM,2-ynq89knAQ,0.9392977595329285,0.9122850100199381,0,0,0,0
16,16,moma-lrg,Nu4lKx-zAvs,MxECcph9Yj8,0m_HbAUoUoY,0.9172933717568715,0.8853880142172178,0,0,0,0
17,17,moma-lrg,m_ZVJgM-bZI,uuHqSRKjfH0,ftg8Aqjk744,0.9174668644865354,0.9392977595329285,0,0,0,0
18,18,moma-lrg,f1_CgxQ3Ku4,OaaL9gzeC4M,Bkg8gpNVDDs,0.9392977595329285,0.9253259164591632,0,0,0,0
19,19,moma-lrg,qfhGUap3AO8,Nu4lKx-zAvs,lVcwAQTVQzk,0.9674367308616638,0.8853464722633362,0,0,0,0
